date,product,category,demand,location,on_hand_inventory,lead_time_days,expiration_date,shelf_life_days,promo_flag,price
1/1/26,Whole Milk,Dairy Milk,252,Indianapolis Cold Storage,150,2,1/8/26,10,FALSE,3.79
1/1/26,Greek Yogurt,Cultured Dairy,156,Indianapolis Cold Storage,1500,10,1/10/26,21,FALSE,1.69
1/1/26,Sour Cream,Cultured Cream,96,Indianapolis Cold Storage,1800,10,1/6/26,14,FALSE,2.49
1/1/26,Cottage Cheese,Fresh Cheese,116,Indianapolis Cold Storage,2000,9,1/7/26,12,FALSE,3.19
1/1/26,Cheddar Cheese,Aged Cheese,104,Indianapolis Cold Storage,500,4,2/18/26,60,FALSE,4.99
1/1/26,Heavy Cream,Dairy Cream,81,Indianapolis Cold Storage,90,5,1/21/26,24,FALSE,2.89
1/2/26,Whole Milk,Dairy Milk,265,Indianapolis Cold Storage,150,2,1/9/26,10,FALSE,3.79
1/2/26,Greek Yogurt,Cultured Dairy,159,Indianapolis Cold Storage,1500,10,1/11/26,21,FALSE,1.69
1/2/26,Sour Cream,Cultured Cream,99,Indianapolis Cold Storage,1800,10,1/7/26,14,FALSE,2.49
1/2/26,Cottage Cheese,Fresh Cheese,118,Indianapolis Cold Storage,2000,9,1/8/26,12,FALSE,3.19
1/2/26,Cheddar Cheese,Aged Cheese,107,Indianapolis Cold Storage,500,4,2/19/26,60,FALSE,4.99
1/2/26,Heavy Cream,Dairy Cream,82,Indianapolis Cold Storage,90,5,1/22/26,24,FALSE,2.89
1/3/26,Whole Milk,Dairy Milk,286,Indianapolis Cold Storage,150,2,1/10/26,10,FALSE,3.79
1/3/26,Greek Yogurt,Cultured Dairy,167,Indianapolis Cold Storage,1500,10,1/12/26,21,FALSE,1.69
1/3/26,Sour Cream,Cultured Cream,104,Indianapolis Cold Storage,1800,10,1/8/26,14,FALSE,2.49
1/3/26,Cottage Cheese,Fresh Cheese,122,Indianapolis Cold Storage,2000,9,1/9/26,12,FALSE,3.19
1/3/26,Cheddar Cheese,Aged Cheese,114,Indianapolis Cold Storage,500,4,2/20/26,60,FALSE,4.99
1/3/26,Heavy Cream,Dairy Cream,86,Indianapolis Cold Storage,90,5,1/23/26,24,FALSE,2.89
1/4/26,Whole Milk,Dairy Milk,272,Indianapolis Cold Storage,150,2,1/11/26,10,FALSE,3.79
1/4/26,Greek Yogurt,Cultured Dairy,165,Indianapolis Cold Storage,1500,10,1/13/26,21,FALSE,1.69
1/4/26,Sour Cream,Cultured Cream,103,Indianapolis Cold Storage,1800,10,1/9/26,14,FALSE,2.49
1/4/26,Cottage Cheese,Fresh Cheese,120,Indianapolis Cold Storage,2000,9,1/10/26,12,FALSE,3.19
1/4/26,Cheddar Cheese,Aged Cheese,110,Indianapolis Cold Storage,500,4,2/21/26,60,FALSE,4.99
1/4/26,Heavy Cream,Dairy Cream,84,Indianapolis Cold Storage,90,5,1/24/26,24,FALSE,2.89
1/5/26,Whole Milk,Dairy Milk,250,Indianapolis Cold Storage,150,2,1/12/26,10,FALSE,3.79
1/5/26,Greek Yogurt,Cultured Dairy,174,Indianapolis Cold Storage,1500,10,1/14/26,21,TRUE,1.56
1/5/26,Sour Cream,Cultured Cream,92,Indianapolis Cold Storage,1800,10,1/10/26,14,FALSE,2.49
1/5/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,1/11/26,12,FALSE,3.19
1/5/26,Cheddar Cheese,Aged Cheese,97,Indianapolis Cold Storage,500,4,2/22/26,60,FALSE,4.99
1/5/26,Heavy Cream,Dairy Cream,77,Indianapolis Cold Storage,90,5,1/25/26,24,FALSE,2.89
1/6/26,Whole Milk,Dairy Milk,246,Indianapolis Cold Storage,150,2,1/13/26,10,FALSE,3.79
1/6/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,1/15/26,21,FALSE,1.69
1/6/26,Sour Cream,Cultured Cream,116,Indianapolis Cold Storage,1800,10,1/11/26,14,TRUE,2.18
1/6/26,Cottage Cheese,Fresh Cheese,113,Indianapolis Cold Storage,2000,9,1/12/26,12,FALSE,3.19
1/6/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,2/23/26,60,FALSE,4.99
1/6/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,1/26/26,24,FALSE,2.89
1/7/26,Whole Milk,Dairy Milk,287,Indianapolis Cold Storage,150,2,1/14/26,10,TRUE,3.41
1/7/26,Greek Yogurt,Cultured Dairy,154,Indianapolis Cold Storage,1500,10,1/16/26,21,FALSE,1.69
1/7/26,Sour Cream,Cultured Cream,95,Indianapolis Cold Storage,1800,10,1/12/26,14,FALSE,2.49
1/7/26,Cottage Cheese,Fresh Cheese,113,Indianapolis Cold Storage,2000,9,1/13/26,12,FALSE,3.19
1/7/26,Cheddar Cheese,Aged Cheese,101,Indianapolis Cold Storage,500,4,2/24/26,60,FALSE,4.99
1/7/26,Heavy Cream,Dairy Cream,80,Indianapolis Cold Storage,90,5,1/27/26,24,FALSE,2.89
1/8/26,Whole Milk,Dairy Milk,250,Indianapolis Cold Storage,150,2,1/15/26,10,FALSE,3.79
1/8/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,1/17/26,21,FALSE,1.69
1/8/26,Sour Cream,Cultured Cream,95,Indianapolis Cold Storage,1800,10,1/13/26,14,FALSE,2.49
1/8/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,1/14/26,12,FALSE,3.19
1/8/26,Cheddar Cheese,Aged Cheese,102,Indianapolis Cold Storage,500,4,2/25/26,60,FALSE,4.99
1/8/26,Heavy Cream,Dairy Cream,80,Indianapolis Cold Storage,90,5,1/28/26,24,FALSE,2.89
1/9/26,Whole Milk,Dairy Milk,260,Indianapolis Cold Storage,150,2,1/16/26,10,FALSE,3.79
1/9/26,Greek Yogurt,Cultured Dairy,152,Indianapolis Cold Storage,1500,10,1/18/26,21,FALSE,1.69
1/9/26,Sour Cream,Cultured Cream,95,Indianapolis Cold Storage,1800,10,1/14/26,14,FALSE,2.49
1/9/26,Cottage Cheese,Fresh Cheese,113,Indianapolis Cold Storage,2000,9,1/15/26,12,FALSE,3.19
1/9/26,Cheddar Cheese,Aged Cheese,104,Indianapolis Cold Storage,500,4,2/26/26,60,FALSE,4.99
1/9/26,Heavy Cream,Dairy Cream,89,Indianapolis Cold Storage,90,5,1/29/26,24,TRUE,2.7
1/10/26,Whole Milk,Dairy Milk,275,Indianapolis Cold Storage,150,2,1/17/26,10,FALSE,3.79
1/10/26,Greek Yogurt,Cultured Dairy,157,Indianapolis Cold Storage,1500,10,1/19/26,21,FALSE,1.69
1/10/26,Sour Cream,Cultured Cream,98,Indianapolis Cold Storage,1800,10,1/15/26,14,FALSE,2.49
1/10/26,Cottage Cheese,Fresh Cheese,116,Indianapolis Cold Storage,2000,9,1/16/26,12,FALSE,3.19
1/10/26,Cheddar Cheese,Aged Cheese,108,Indianapolis Cold Storage,500,4,2/27/26,60,FALSE,4.99
1/10/26,Heavy Cream,Dairy Cream,82,Indianapolis Cold Storage,90,5,1/30/26,24,FALSE,2.89
1/11/26,Whole Milk,Dairy Milk,256,Indianapolis Cold Storage,150,2,1/18/26,10,FALSE,3.79
1/11/26,Greek Yogurt,Cultured Dairy,153,Indianapolis Cold Storage,1500,10,1/20/26,21,FALSE,1.69
1/11/26,Sour Cream,Cultured Cream,96,Indianapolis Cold Storage,1800,10,1/16/26,14,FALSE,2.49
1/11/26,Cottage Cheese,Fresh Cheese,112,Indianapolis Cold Storage,2000,9,1/17/26,12,FALSE,3.19
1/11/26,Cheddar Cheese,Aged Cheese,131,Indianapolis Cold Storage,500,4,2/28/26,60,TRUE,4.25
1/11/26,Heavy Cream,Dairy Cream,78,Indianapolis Cold Storage,90,5,1/31/26,24,FALSE,2.89
1/12/26,Whole Milk,Dairy Milk,231,Indianapolis Cold Storage,150,2,1/19/26,10,FALSE,3.79
1/12/26,Greek Yogurt,Cultured Dairy,141,Indianapolis Cold Storage,1500,10,1/21/26,21,FALSE,1.69
1/12/26,Sour Cream,Cultured Cream,85,Indianapolis Cold Storage,1800,10,1/17/26,14,FALSE,2.49
1/12/26,Cottage Cheese,Fresh Cheese,103,Indianapolis Cold Storage,2000,9,1/18/26,12,FALSE,3.19
1/12/26,Cheddar Cheese,Aged Cheese,91,Indianapolis Cold Storage,500,4,3/1/26,60,FALSE,4.99
1/12/26,Heavy Cream,Dairy Cream,71,Indianapolis Cold Storage,90,5,2/1/26,24,FALSE,2.89
1/13/26,Whole Milk,Dairy Milk,227,Indianapolis Cold Storage,150,2,1/20/26,10,FALSE,3.79
1/13/26,Greek Yogurt,Cultured Dairy,143,Indianapolis Cold Storage,1500,10,1/22/26,21,FALSE,1.69
1/13/26,Sour Cream,Cultured Cream,87,Indianapolis Cold Storage,1800,10,1/18/26,14,FALSE,2.49
1/13/26,Cottage Cheese,Fresh Cheese,106,Indianapolis Cold Storage,2000,9,1/19/26,12,FALSE,3.19
1/13/26,Cheddar Cheese,Aged Cheese,93,Indianapolis Cold Storage,500,4,3/2/26,60,FALSE,4.99
1/13/26,Heavy Cream,Dairy Cream,73,Indianapolis Cold Storage,90,5,2/2/26,24,FALSE,2.89
1/14/26,Whole Milk,Dairy Milk,227,Indianapolis Cold Storage,150,2,1/21/26,10,FALSE,3.79
1/14/26,Greek Yogurt,Cultured Dairy,148,Indianapolis Cold Storage,1500,10,1/23/26,21,FALSE,1.69
1/14/26,Sour Cream,Cultured Cream,90,Indianapolis Cold Storage,1800,10,1/19/26,14,FALSE,2.49
1/14/26,Cottage Cheese,Fresh Cheese,109,Indianapolis Cold Storage,2000,9,1/20/26,12,FALSE,3.19
1/14/26,Cheddar Cheese,Aged Cheese,97,Indianapolis Cold Storage,500,4,3/3/26,60,FALSE,4.99
1/14/26,Heavy Cream,Dairy Cream,75,Indianapolis Cold Storage,90,5,2/3/26,24,FALSE,2.89
1/15/26,Whole Milk,Dairy Milk,238,Indianapolis Cold Storage,150,2,1/22/26,10,FALSE,3.79
1/15/26,Greek Yogurt,Cultured Dairy,150,Indianapolis Cold Storage,1500,10,1/24/26,21,FALSE,1.69
1/15/26,Sour Cream,Cultured Cream,92,Indianapolis Cold Storage,1800,10,1/20/26,14,FALSE,2.49
1/15/26,Cottage Cheese,Fresh Cheese,111,Indianapolis Cold Storage,2000,9,1/21/26,12,FALSE,3.19
1/15/26,Cheddar Cheese,Aged Cheese,100,Indianapolis Cold Storage,500,4,3/4/26,60,FALSE,4.99
1/15/26,Heavy Cream,Dairy Cream,77,Indianapolis Cold Storage,90,5,2/4/26,24,FALSE,2.89
1/16/26,Whole Milk,Dairy Milk,254,Indianapolis Cold Storage,150,2,1/23/26,10,FALSE,3.79
1/16/26,Greek Yogurt,Cultured Dairy,152,Indianapolis Cold Storage,1500,10,1/25/26,21,FALSE,1.69
1/16/26,Sour Cream,Cultured Cream,94,Indianapolis Cold Storage,1800,10,1/21/26,14,FALSE,2.49
1/16/26,Cottage Cheese,Fresh Cheese,115,Indianapolis Cold Storage,2000,9,1/22/26,12,FALSE,3.19
1/16/26,Cheddar Cheese,Aged Cheese,105,Indianapolis Cold Storage,500,4,3/5/26,60,FALSE,4.99
1/16/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,2/5/26,24,FALSE,2.89
1/17/26,Whole Milk,Dairy Milk,275,Indianapolis Cold Storage,150,2,1/24/26,10,FALSE,3.79
1/17/26,Greek Yogurt,Cultured Dairy,159,Indianapolis Cold Storage,1500,10,1/26/26,21,FALSE,1.69
1/17/26,Sour Cream,Cultured Cream,98,Indianapolis Cold Storage,1800,10,1/22/26,14,FALSE,2.49
1/17/26,Cottage Cheese,Fresh Cheese,119,Indianapolis Cold Storage,2000,9,1/23/26,12,FALSE,3.19
1/17/26,Cheddar Cheese,Aged Cheese,112,Indianapolis Cold Storage,500,4,3/6/26,60,FALSE,4.99
1/17/26,Heavy Cream,Dairy Cream,82,Indianapolis Cold Storage,90,5,2/6/26,24,FALSE,2.89
1/18/26,Whole Milk,Dairy Milk,259,Indianapolis Cold Storage,150,2,1/25/26,10,FALSE,3.79
1/18/26,Greek Yogurt,Cultured Dairy,155,Indianapolis Cold Storage,1500,10,1/27/26,21,FALSE,1.69
1/18/26,Sour Cream,Cultured Cream,95,Indianapolis Cold Storage,1800,10,1/23/26,14,FALSE,2.49
1/18/26,Cottage Cheese,Fresh Cheese,116,Indianapolis Cold Storage,2000,9,1/24/26,12,FALSE,3.19
1/18/26,Cheddar Cheese,Aged Cheese,107,Indianapolis Cold Storage,500,4,3/7/26,60,FALSE,4.99
1/18/26,Heavy Cream,Dairy Cream,79,Indianapolis Cold Storage,90,5,2/7/26,24,FALSE,2.89
1/19/26,Whole Milk,Dairy Milk,233,Indianapolis Cold Storage,150,2,1/26/26,10,FALSE,3.79
1/19/26,Greek Yogurt,Cultured Dairy,161,Indianapolis Cold Storage,1500,10,1/28/26,21,TRUE,1.56
1/19/26,Sour Cream,Cultured Cream,84,Indianapolis Cold Storage,1800,10,1/24/26,14,FALSE,2.49
1/19/26,Cottage Cheese,Fresh Cheese,106,Indianapolis Cold Storage,2000,9,1/25/26,12,FALSE,3.19
